urn,term,replaced_by,status_fdi,domain,subdomain,model,type,code,uri,label,definition,preferred_classification_system,alternate_classification_system,cwp_endorsement
urn:fdi:term:effort_temporal_accuracy,effort_temporal_accuracy,NA,pending,fisheries,NA,simplified,variable,effort_temporal_accuracy,NA,Temporal accuracy,NA,NA,NA,NA
urn:fdi:term:effort_temporal_accuracy_unit,effort_temporal_accuracy_unit,NA,pending,fisheries,NA,simplified,attribute,effort_temporal_accuracy_unit,NA,Temporal accuracy unit,NA,NA,NA,NA
urn:fdi:term:effort_temporal_accuracy_status,effort_temporal_accuracy_status,NA,pending,fisheries,NA,simplified,attribute,effort_temporal_accuracy_status,NA,Temporal accuracy status,NA,NA,NA,NA
urn:fdi:term:bycatch_total,bycatch_total,NA,pending,fisheries,NA,simplified,variable,bycatch_total,NA,Total bycatch,NA,NA,NA,NA
urn:fdi:term:bycatch_total_unit,bycatch_total_unit,NA,pending,fisheries,NA,simplified,attribute,bycatch_total_unit,NA,Total bycatch unit,NA,NA,NA,NA
urn:fdi:term:bycatch_total_status,bycatch_total_status,NA,pending,fisheries,NA,simplified,attribute,bycatch_total_status,NA,Total bycatch status,NA,NA,NA,NA
urn:fdi:term:fleet_engagement_number,fleet_engagement_number,NA,pending,fisheries,NA,simplified,variable,fleet_engagement_number,NA,Fleet number,NA,NA,NA,NA
urn:fdi:term:fleet_engagement_number_unit,fleet_engagement_number_unit,NA,pending,fisheries,NA,simplified,attribute,fleet_engagement_number_unit,NA,Fleet number unit,NA,NA,NA,NA
urn:fdi:term:fleet_engagement_number_status,fleet_engagement_number_status,NA,pending,fisheries,NA,simplified,attribute,fleet_engagement_number_status,NA,Fleet number status,NA,NA,NA,NA
urn:fdi:term:fleet_engagement_max,fleet_engagement_max,NA,pending,fisheries,NA,simplified,variable,fleet_engagement_max,NA,Max fleet number,NA,NA,NA,NA
urn:fdi:term:fleet_engagement_max_unit,fleet_engagement_max_unit,NA,pending,fisheries,NA,simplified,attribute,fleet_engagement_max_unit,NA,Max fleet number unit,NA,NA,NA,NA
urn:fdi:term:fleet_engagement_max_status,fleet_engagement_max_status,NA,pending,fisheries,NA,simplified,attribute,fleet_engagement_max_status,NA,Max fleet number status,NA,NA,NA,NA
urn:fdi:term:fleet_engagement_capacity,fleet_engagement_capacity,NA,pending,fisheries,NA,simplified,variable,fleet_engagement_capacity,NA,Fleet capacity,NA,NA,NA,NA
urn:fdi:term:fleet_engagement_capacity_unit,fleet_engagement_capacity_unit,NA,pending,fisheries,NA,simplified,attribute,fleet_engagement_capacity_unit,NA,Fleet capacity unit,NA,NA,NA,NA
urn:fdi:term:fleet_engagement_capacity_status,fleet_engagement_capacity_status,NA,pending,fisheries,NA,simplified,attribute,fleet_engagement_capacity_status,NA,Fleet capacity status,NA,NA,NA,NA
urn:fdi:term:fleet_engagement_enginepower,fleet_engagement_enginepower,NA,pending,fisheries,NA,simplified,variable,fleet_engagement_enginepower,NA,Fleet engine power,NA,NA,NA,NA
urn:fdi:term:fleet_engagement_enginepower_unit,fleet_engagement_enginepower_unit,NA,pending,fisheries,NA,simplified,attribute,fleet_engagement_enginepower_unit,NA,Fleet engine power unit,NA,NA,NA,NA
urn:fdi:term:fleet_engagement_enginepower_status,fleet_engagement_enginepower_status,NA,pending,fisheries,NA,simplified,attribute,fleet_engagement_enginepower_status,NA,Fleet engine power status,NA,NA,NA,NA
urn:fdi:term:trade_quantity,trade_quantity,NA,pending,fisheries,NA,simplified,variable,trade_quantity,NA,Trade quantity,NA,NA,NA,NA
urn:fdi:term:trade_quantity_unit,trade_quantity_unit,NA,pending,fisheries,NA,simplified,attribute,trade_quantity_unit,NA,Trade quantity unit,NA,NA,NA,NA
urn:fdi:term:trade_quantity_status,trade_quantity_status,NA,pending,fisheries,NA,simplified,attribute,trade_quantity_status,NA,Trade quantity status,NA,NA,NA,NA
urn:fdi:term:trade_value,trade_value,NA,pending,fisheries,NA,simplified,variable,trade_value,NA,Trade calue,NA,NA,NA,NA
urn:fdi:term:trade_value_unit,trade_value_unit,NA,pending,fisheries,NA,simplified,attribute,trade_value_unit,NA,Trade calue unit,NA,NA,NA,NA
urn:fdi:term:trade_value_status,trade_value_status,NA,pending,fisheries,NA,simplified,attribute,trade_value_status,NA,Trade calue status,NA,NA,NA,NA
urn:fdi:term:trade_price,trade_price,NA,pending,fisheries,NA,simplified,variable,trade_price,NA,Price,NA,NA,NA,NA
urn:fdi:term:trade_price_unit,trade_price_unit,NA,pending,fisheries,NA,simplified,attribute,trade_price_unit,NA,Price unit,NA,NA,NA,NA
urn:fdi:term:trade_price_status,trade_price_status,NA,pending,fisheries,NA,simplified,attribute,trade_price_status,NA,Price status,NA,NA,NA,NA
